Username,Handle,Tweet,Hashtags,Replies,Retweets,Likes
Google Cloud Tech,,"Lesson of the day: Learn how retailers can leverage the power of cloud infrastructure, AI, and edge hardware—powered by Intel Xeon processors—to optimize operations and enhance the customer experience →  https://",,,,
Outdoor Channel,,"It's fast action and no-holds-barred fishing, as the In-Fisherman staff travels to the Canadian Shield and famous Eagle Lake for prime fall fishing for muskies; puts on a unique float-fishing clinic for tough time smallmouths; and visits one of the best destinations in the world",,,,
Google for Developers,,"Experience the power of Gemma 2 on Jetson Nano Orin from  #GemmaDeveloperDay  Tokyo!  @NVIDIA ’s  @asierarranz  walks us through the steps.   Install CUDA and llama.cpp  Download the Gemma2 model  Start exploring AI on the edge!

See the full setup →  https://",#GemmaDeveloperDay,,,
Outdoor Channel,,"Will you be there? 

The 2025 Hawaii Island Spring Bearded Turkey Hunting Season opened Saturday March 1 and will run for 46 consecutive days through Tuesday, April 15, 2025.   Hawaii DLNR #FindYourAdventure #outdoors #hunting #wildturkey #turkeyhunting #hawaii","#FindYourAdventure, #outdoors, #hunting, #wildturkey, #turkeyhunting, #hawaii",,,
Google for Developers reposted,,"We're bringing you a new Spotlight Week! This week, we're stepping in the world of widgets   

Some topics we're covering:  Widget benefits, design, & implementation Widget quality  Great widget examples And of course, an  #AskAndroid  live Q&A!",#AskAndroid,,,
Outdoor Channel,,"If you are serious about turkey hunting, here are 10 must-see turkey hunting items new for 2025 via  @GameAndFishMag :  https:// #FindYourAdventure #outdoors #turkeyhunting #gear #wildturkey #turkeyseason","#FindYourAdventure, #outdoors, #turkeyhunting, #gear, #wildturkey, #turkeyseason",,,
Google for Developers,,"How did  @Angular  evolve from an experiment to a JavaScript sensation?   This documentary explores its journey, including Angular 2, Ivy, Signals, and the convergence with Wiz.

Dive into the evolution of Angular by  @honeypotio  ↓",,,,
Google Cloud Tech,,"What's next for you at  #GoogleCloudNext ?

Join us in Vegas, April 9–11! Next '25 has something for everyone →  https://",#GoogleCloudNext,,,
Google,,"At  #MWC25 , we're sharing how AI on  @Android  can help you with your day-to-day life — like using Circle to Search to translate menus, learning about complex topics with Gemini Live and more ↓",#MWC25,,,
Outdoor Channel,,"Floating Alabama's Flint Creek by canoe, Daniel harvests America's forgotten fruit, the pawpaw, before pairing them with elderberry and catfish caught off the dock.

WildFed  /  ALL NEW TONIGHT AT 7:30 PM ET.  #FindYourAdventure #outdoors #cooking #foraging #food #recipe #fruit","#FindYourAdventure, #outdoors, #cooking, #foraging, #food, #recipe, #fruit",,,
Google for Developers,,"Next time someone asks you to spell your name phonetically, try it out dev style.",,,,
Outdoor Channel,,Comment below if you have an Ocellated turkey hunt booked for this spring! - Shared by Chris Harrington #FindYourAdventure #outdoors #hunting #wildturkey #turkeyseason #ocellated #ocellatedturkey #springturkey #turkeyhunting #turkeyhunter,"#FindYourAdventure, #outdoors, #hunting, #wildturkey, #turkeyseason, #ocellated, #ocellatedturkey, #springturkey, #turkeyhunting, #turkeyhunter",,,
Google Cloud Tech,,"Vertex AI RAG Engine is a managed service that lets you build and deploy RAG implementations with your data and methods.

It's like having a team of experts who have already solved complex infrastructure challenges—while you customize to your use case →  https://",,,,
Google for Developers reposted,,"The  #GoogleCloudNext  session library is now 🄾🄿🄴🄽!

From hundreds of learning sessions and hands-on training on  #generativeAI  and other cutting-edge cloud technologies to how-to content and demos, there's a session (or two or three!) for everyone →  https://","#GoogleCloudNext, #generativeAI",,,
Google reposted,,"Introducing our AI co-scientist, a multi-agent AI system built with Gemini 2.0.

We think of it as a virtual collaborator for scientists, using advanced reasoning to synthesize a huge amount of literature, generate novel hypotheses, and suggest detailed research plans. We’re",,,,
Google for Developers,,The future of XR is...   Watch developers share their one-word aspirations from the  #AndroidXR  developer preview! What word would you choose?,#AndroidXR,,,
Google,,"If you’re thinking about your next career, you’re not alone — on average, people change careers 5 to 7x in their life. Try Career Dreamer, our new AI experiment that helps you explore careers personalized to your skills & interests →  http:// #GrowWithGoogle",#GrowWithGoogle,,,
Outdoor Channel,,Hot From SHOT! Here's the best new gear for hunters in 2025 right from the show via Petersen's Hunting:  https:// #FindYourAdventure #hunting #gear #outdoors #shotshow #new  #2025  #hunters,"#FindYourAdventure, #hunting, #gear, #outdoors, #shotshow, #new, #2025, #hunters",,,
Google Cloud Tech,,"Your next read on  @Medium : Explore methods to optimize the accuracy and performance of LLM-generated SQL queries in BigQuery. Learn how to leverage metadata, define join relationships, and validate syntax for more robust and reliable SQL generation ↓",,,,
Outdoor Channel,,"When the wicked winds of Lake Huron blow its “no country for old men"" but when Mother Nature opens the window our team kicks down the door for a full on smallmouth assault.

ZONA's Awesome Fishing Show!  /  ALL NEW SUNDAY AT 8:30 AM ET.  #FindYourAdventure #fish #fishing","#FindYourAdventure, #fish, #fishing",,,
Google Cloud Tech reposted,,Did you know you can use  @NotebookLM  for enterprise on Google Cloud? All of the information insights goodness but in a cloud compliant environment. GA now! Try with a free 30 day trial -->  https:// booklm-enterprise?e=48754805&hl=en …,,,,
Outdoor Channel,,"Steve Pennaz and Bret Amundson target big walleye on a shallow prairie lake with almost no structure.

Lake Commandos  /  ALL NEW SUNDAY AT 11:30 AM ET.  #FindYourAdventure #fish #fishing #outdoors #walleye #walleyefishing","#FindYourAdventure, #fish, #fishing, #outdoors, #walleye, #walleyefishing",,,
Outdoor Channel,,"Kevin VanDam revisits Kerth Lake in Texas for a grass cranking clinic on bass. 

The Vandam Experience  /  ALL NEW SUNDAY AT 8 AM ET.  #FindYourAdventure #fish #fishing #bass #bassfishing #clinic #fishingclinic","#FindYourAdventure, #fish, #fishing, #bass, #bassfishing, #clinic, #fishingclinic",,,
Outdoor Channel,,"We start the season wet but things heat up quickly as the crew battles rain and humidity in Ivanhoe, NC all without Hal, on the ALL NEW SEASON PREMIERE of Renovation Hunters FRIDAY FEB 14th at 8:30 PM ET.  #FindYourAdventure #hunters #outdoors #renovation #redo #construction","#FindYourAdventure, #hunters, #outdoors, #renovation, #redo, #construction",,,
Google Cloud Tech,,"Reason #4 to build a real-time analytics database with Bigtable and BigQuery: Analytics on continuous data.

Bigtable is integrated into the  #BigQuery  analytics ecosystem, making your real-time data easily accessible for additional stream analysis →  https://","#4, #BigQuery",,,
Outdoor Channel,,Congrats to Georgia Kate McFerrin from The Legends of the Fall on her first buck of 2025! Late season in south Texas is definitely a fun time!  #FindYourAdventure #hunting #outdoors #deer #deerseason #deerhunting #whitetail #Texas,"#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason, #deerhunting, #whitetail, #Texas",,,
Outdoor Channel,,Congratulations to The Crush with Lee & Tiffany's daughter Raygen who recently got her very first buck! Not a better moment to share with your child!!!  #FindYourAdventure #hunting #outdoors #deer #deerseason #deerhunting #whitetail #kid #kidswhohunt,"#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason, #deerhunting, #whitetail, #kid, #kidswhohunt",,,
Google Cloud Tech,,"Fact: Evaluation is a critical piece of the journey for LLMs. 

Read this whitepaper to discover the key principles and approaches to evaluating LLMs effectively, as presented at NeurIPS 2024 →  https://",,,,
Outdoor Channel,,"Utilizing scent to hunt whitetails is a centuries-old tradition. With liquid, stick and aerosol products available, let's take a look at just how far deer scents have come via  @NAWhitetail :   https:// #FindYourAdventure #hunting #outdoors #deer #deerseason","#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason",,,
Google Cloud Tech reposted,,"How can we ensure that AI-generated code maintains high quality, adheres to good style, and follows best practices? This question has been on my mind recently, and it is the topic of my latest blog post: https:// ode-quality-in-the-age-of-ai-assisted-development-de1f9ea8572d …",,,,
Outdoor Channel,,"How to select the proper holster for a new shooter.

Guns & Ammo TV  /  ALL NEW WEDNESDAY AT 8 PM ET.  #FindYourAdventure #guns #ammo #holster #shooter #shooting","#FindYourAdventure, #guns, #ammo, #holster, #shooter, #shooting",,,
Outdoor Channel,,Michael Waddell chats with Everett Deger from  @KimberAmerica  at SHOT Show 2025! Discover the craftsmanship and innovation that have made Kimber a leader in premium firearms.   Watch now:  https:// xGK7c … #MichaelWaddell #KimberFirearms #SHOTShow2025 #Craftsmanship,"#MichaelWaddell, #KimberFirearms, #SHOTShow2025, #Craftsmanship",,,
Outdoor Channel,,Michael Waddell chats with Mike Dineen from  @Streamlight  at SHOT Show 2025! Explore how Streamlight’s cutting-edge lighting solutions have become essential tools for the outdoors and beyond.   Watch now:  https:// so6hQ … #MichaelWaddell #Streamlight #SHOTShow2025,"#MichaelWaddell, #Streamlight, #SHOTShow2025",,,
Outdoor Channel,,Scott Leysath is on the hunt for pheasants and feral hogs on his home turf in Northern California. He teams up with professional guide and dog trainer Steve Rambo for an epic feral hog hunt and chases down the answer to the question: Where have all the pheasants gone? And he,,,,
Outdoor Channel,,"Congrats to Chris from Small Town Hunting who has been on a roll lately, and just scored this great buck down in Mississippi!  #FindYourAdventure #hunting #outdoors #deer #deerseason #deerhunting #Mississippi #whitetail","#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason, #deerhunting, #Mississippi, #whitetail",,,
Google Cloud Tech,,"Interested in becoming a Cloud Data Analyst?

First, check out the Google Cloud Data Analytics certificate program to build a portfolio of projects that showcase how you can analyze, visualize, & communicate data →  https:// Then, prep for your future interview ↓",,,,
Outdoor Channel,,"If you're looking to make big gains in the woods, here are several ways to up your archery game in 2025 via  @BowhunterMag :  https:// #FindYourAdventure #hunting #outdoors #bowhunter #bowhunting #archery #resolution","#FindYourAdventure, #hunting, #outdoors, #bowhunter, #bowhunting, #archery, #resolution",,,
Outdoor Channel,,"It's widely known that bass spawn in the spring but there's an old secret that they try again in the Fall, This episode truly is where reality becomes illusion and illusion becomes reality.

ZONA's Awesome Fishing Show!  /  ALL NEW SUNDAY AT 8:30 AM ET.  #FindYourAdventure",#FindYourAdventure,,,
Outdoor Channel,,"Steve Pennaz and Elite Bass Pro Brandon Coulter target fall largemouth on lake with massive weed flats.

Lake Commandos  /  ALL NEW SUNDAY 11:30 AM ET.  #FindYourAdventure #fishing #fish #outdoors #bass #bassfishing #largemouth","#FindYourAdventure, #fishing, #fish, #outdoors, #bass, #bassfishing, #largemouth",,,
Outdoor Channel,,"Kevin VanDam fishes with Luke Bryan at his home lake and the giant bass were the star of the show.

The Vandam Experience  /  ALL NEW SUNDAY AT 8 AM ET.  #FindYourAdventure #fishing #outdoors #bass #bassfishing #lukebryan","#FindYourAdventure, #fishing, #outdoors, #bass, #bassfishing, #lukebryan",,,
Outdoor Channel,,"Talk about a MAGNUM Moose!!! - Shared by @lancasters_nbo_nwto 

Is a giant moose on your bucket list?  #FindYourAdventure #hunting #outdoors #moose #moosehunting #bucketlist","#FindYourAdventure, #hunting, #outdoors, #moose, #moosehunting, #bucketlist",,,
Google Cloud Tech reposted,," I created a new video   that shows how to execute dbt pipelines with Airflow and Cloud Run   Run dbt pipelines on Cloud Run with CloudRunExecuteJobOperator  Use Cosmos Library to mirror dbt models in Airflow

Links in comments @GoogleCloudTech @getdbt @ApacheAirflow",,,,
Google Cloud Tech,,"NotebookLM is a great tool for creating audio overviews, but did you know you can generate audio with Google Cloud tools & have control over the tone, voice, & script?

Learn how to build and refine your audio generation end-to-end with Gemini 1.5 Pro ↓",,,,
Outdoor Channel,,"Come on dad let me try!!! Be careful out there! 

DM for credit. 
•  #FindYourAdventure #hunting #outdoors #kid #kidswhohunt #gun #shotgun","#FindYourAdventure, #hunting, #outdoors, #kid, #kidswhohunt, #gun, #shotgun",,,
Outdoor Channel,,Enjoy an in-depth look at some of the most massive 8-points ever to live via  @NAWhitetail :  https:// #FindYourAdventure #hunting #outdoors #deer #deerseason #deerhunting #whitetail,"#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason, #deerhunting, #whitetail",,,
Outdoor Channel,,"Great shot!!! Submitted by Skopecam. 
• #FindYourAdventure #hunting #outdoors #deer #deerhunting #deerseason #whitetail #shooting","#FindYourAdventure, #hunting, #outdoors, #deer, #deerhunting, #deerseason, #whitetail, #shooting",,,
Outdoor Channel,,outdoorWatch the SHOT Show New Product Premiere on Outdoor Channel Saturday January 25th at 8P ET. Get a sneak peek at the hottest products this year's SHOT Show has to offer!  https://,,,,
Outdoor Channel,,How strong was your Christmas decorating game this year?  #FindYourAdventure #MerryChristmas #christmas #christmas2024 #christmasdecorations #christmaslights,"#FindYourAdventure, #MerryChristmas, #christmas, #christmas2024, #christmasdecorations, #christmaslights",,,
Outdoor Channel,,'Tis the season to eat good food and be merry! Here are 10 amazing recipes for the Holiday season via  @GameAndFishMag :  https:// #FindYourAdventure #MerryChristmas #christmas #recipe #holiday #wildgame #holidayfood,"#FindYourAdventure, #MerryChristmas, #christmas, #recipe, #holiday, #wildgame, #holidayfood",,,
Outdoor Channel,,"What's better than a head-to-head, single target competition? Nothing! Really nothing.

American Airgunner TV  /  TONIGHT AT 6:30 PM ET.  #FindYourAdventure #airgunnertv #outdoors #competition #challenge","#FindYourAdventure, #airgunnertv, #outdoors, #competition, #challenge",,,
Outdoor Channel,,Do you have enough buck mounts to pull Santa's sleigh? - Shared by Rackulator  #FindYourAdventure #MerryChristmas #christmas #christmastime #christmas2024 #deer #deermount,"#FindYourAdventure, #MerryChristmas, #christmas, #christmastime, #christmas2024, #deer, #deermount",,,
Outdoor Channel,,Merry Christmas from our family to yours!  #FindYourAdventure #MerryChristmas #christmas  #2024  #christmastime #hunting #fishing #outdoors #family,"#FindYourAdventure, #MerryChristmas, #christmas, #2024, #christmastime, #hunting, #fishing, #outdoors, #family",,,
Outdoor Channel,,"Such a cool idea for a Christmas Tree! - Shared by @mrmatchedset  

Do you have enough sheds to decorate your tree?  #FindYourAdventure #MerryChristmas #christmas #christmas2024 #christmastree #sheds","#FindYourAdventure, #MerryChristmas, #christmas, #christmas2024, #christmastree, #sheds",,,
Outdoor Channel,,"When Jordan Schwarck acquired new dirt in September, he never dreamed he'd fill his first tag on the property with a buck that measured 198 inches. Full story via  @NAWhitetail :  https:// #FindYourAdventure #hunting #outdoors #deer #deerseason #deerhunting","#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason, #deerhunting",,,
Outdoor Channel,,“The Fowl Life” host Chad Belding gives us the goods on his preferred gear for all things waterfowl. Here's the goods via  @GameAndFishMag :  https:// #FindYourAdventure #hunting #outdoors #waterfowl #waterfowlhunting #clothing,"#FindYourAdventure, #hunting, #outdoors, #waterfowl, #waterfowlhunting, #clothing",,,
Outdoor Channel,,"Chris Dorsey hunts the rugged mountains of New Zealand with old friend John Scurr.

Sporting Classics TV with Chris Dorsey  /  SUNDAY AT 10:30 AM ET.  #FindYourAdventure #hunting #outdoors #NewZealand #mountains #hunt","#FindYourAdventure, #hunting, #outdoors, #NewZealand, #mountains, #hunt",,,
Outdoor Channel,,"After months of hard work, misfortune in the field and tested patience, it all comes together for Team Drop Zone.

Team Drop Zone TV  /  SUNDAY AT 11 AM ET.  #FindYourAdventure #hunting #outdoors #Kansas #deer #deerseason #deerhunting #whitetail","#FindYourAdventure, #hunting, #outdoors, #Kansas, #deer, #deerseason, #deerhunting, #whitetail",,,
Outdoor Channel,,Make holiday shopping easy this year with the MyOutdoorTV Pick Your Present Holiday Sale!  https://,,,,
Outdoor Channel,,Congratulations to Nick Mundt from Michael Waddell's Bone Collector who had one bitter cold week in Alberta that was hugely successful!  #FindYourAdventure #outdoors #hunting #deer #deerseason #deerhunting #alberta #muledeer,"#FindYourAdventure, #outdoors, #hunting, #deer, #deerseason, #deerhunting, #alberta, #muledeer",,,
Google for Developers,,An AI research assistant for everyone.,,,,
Google for Developers,,You had us at howdy ,,,,
Google for Developers,,This is exactly the kind of feedback we need! Keep the ideas coming on how Gemini can be more helpful for everyone.,,,,
Google for Developers reposted,,"Get a sneak peek into  #DevFest  Lagos with Tobiloba Adedeji!  From gearing up to delivering an inspiring talk on “Using Semantic Caching to Optimize LLMs,”  @toby_solutions ’ journey captures the energy of the day.

Join  #DevFest  →  http://","#DevFest, #DevFest",,,
Google for Developers,," Missed the Women in AI Summit 2024?  

Catch up on the sessions to expand your AI skills and learn to build with Gemini APIs, Google AI Studio, Gemma, and more! →  https://",,,,
Google Cloud Tech,,"Join Googler Wietse Venema for a deep dive into fine-tuning open models using Hugging Face Transformer Reinforcement Learning (TRL) using GKE.

TRL is an  #OpenSource  library that provides all the tools you need to train LLMs, developed by  @huggingface  ↓",#OpenSource,,,
Outdoor Channel,,"Congratulations to Dallas Birk for putting down this absolute GIANT whitetail from Kansas! The deer has 31 scorable points equaling 255 inches, and is one of the most impressive deer we've seen this season! -  @Buckmasters #FindYourAdventure #hunting #outdoors #deer #deerhunting","#FindYourAdventure, #hunting, #outdoors, #deer, #deerhunting",,,
Google for Developers reposted,,"Build intelligent experiences for your iOS app with Gemini  Learn how to use the native Vertex AI in Firebase SDK to:  Make calls to Gemini  Construct a chat  Run inference on files stored in Firebase Storage 

Watch  #FirebaseDemoDay  →  http://",#FirebaseDemoDay,,,
Outdoor Channel,,"Join us in prayers for Duck Dynasty patriarch Phil Robertson and all of the Robertson family.   

As you have probably heard, Phil Robertson, the founder of Duck Commander has been diagnosed with Alzheimer's disease. We are grateful for all that Phil has contributed to",,,,
Google,,5 ways to simplify holiday planning with Gemini ↓,,,,
Google Cloud Tech,,"We announced new features for Google Cloud Backup and DR service in September—and now they're GA!

Protect production data from cyber attacks and accidental loss with backup vaults, and leverage the new capabilities to simplify Compute Engine VM backups →  https://",,,,
Outdoor Channel,,"""This buck is one of those deer that feels like one of those ""meant to be"" kinda things."" 

Help us congratulate our buddy Nick's Wild Ride on his great buck!  #FindYourAdventure #hunting #outdoors #deer #deerseason #deerhunting #whitetail","#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason, #deerhunting, #whitetail",,,
Google Cloud Tech,,"Ready to see tangible business value from  #generativeAI ? Grounding is key! 

Vertex AI empowers your LLMs with real-world data for improved accuracy, enhanced customer service, and deeper insights →  https://",#generativeAI,,,
Outdoor Channel,,"Once official, Tony Newman's 190-inch Ohio buck will easily find a place in the Buckeye State's record book. He'll join brother Tim, who currently holds the state firearms record for whitetails. Full story via  @NAWhitetail :  https:// #FindYourAdventure #hunting","#FindYourAdventure, #hunting",,,
Google reposted,,"Developing Inala was a labor of love for CEO & founder  @lala . See how she and her team use the Google Pixel ecosystem to stay in control of their day-to-day business needs, social media, and collaboration from the palm of their hands:  https://",,,,
Google for Developers,," The Women in AI Summit 2024 is only a day away! 

Uncover four crucial skills to AI success with  @jocarrasqueira  & integrate them into your career. Be inspired by leaders in the industry & get the tools to uplevel your AI knowledge. 

Register →  https://",,,,
Google Cloud Tech,,"Jump Start Solution: AI/ML image processing on Cloud Functions →  https:// Deploying this solution creates an image processing service that can help you:
- Handle unsafe UGC
- Digitize text from physical docs
- Detect and classify objects in images
- & more!",,,,
Outdoor Channel,,Hunting the rut can be both wonderful and maddening. Here's how to master the whitetail rut via  @GameAndFishMag :  https:// #FindYourAdventure #hunting #outdoors #deer #deerseason #deerhunting #whitetail #whitetailrut,"#FindYourAdventure, #hunting, #outdoors, #deer, #deerseason, #deerhunting, #whitetail, #whitetailrut",,,
Google,,something is not the same ,,,,
Google for Developers,,"Google AI Edge LiteRT brings the power of machine learning to your mobile devices  This open-source framework allows you to run optimized models on-device for tasks like image classification, object detection, reinforcement learning, and more →  https://",,,,
Google Cloud Tech,,"When faced with a new, unfamiliar table, you may not know where to begin. Use data insights in Gemini in BigQuery to generate insightful questions (and the SQL queries to answer them!) with the click of a button →  https://",,,,
Outdoor Channel,,We are pleased to present Pale Rider TONIGHT at 10 PM ET. A mysterious preacher protects a humble prospector village from a greedy mining company trying to encroach on their land.  #FindYourAdventure #western #westernmovie #village #cowboy #west #outdoors,"#FindYourAdventure, #western, #westernmovie, #village, #cowboy, #west, #outdoors",,,
Google,,Check out some of the biggest shows and movies on Google TV this year ↓,,,,
Outdoor Channel,,"On the volcanic Umnak Island, Pat and Connie Harvie must come face-to-face with their feral herd as they go in search of the perfect spot for a satellite corral. Charlie Summerville and his family may have won the battle with their cabin on Volcano Bay, but have they lost the war",,,,
Google for Developers,,Streamline your Google Pay integration with Project IDX.   Get your web project running in just minutes — perfect for devs looking to save time and focus on innovation. Try it now →  https://,,,,
Google reposted,,"Founder of  @TheNourishSpot  Dawn Kelly believes in the power of collaboration & building a resilient business.

See what her business offers  http:// , then share one thing that's helped your Black-owned business thrive #GrowWithGoogle #BlackOwnedFriday","#GrowWithGoogle, #BlackOwnedFriday",,,
Google Cloud Tech,,"That's a wrap on  #KubeCon  +  #CloudNativeCon  2024 and the last KubeCon event of the year! 

Check out these sessions from our very own Googlers at  #KubeCon  +  #CloudNativeCon  2024—available on demand ↓","#KubeCon, #CloudNativeCon, #KubeCon, #CloudNativeCon",,,
Google Cloud Tech,,"#2: Contributing to Kubernetes in Its Second Decade—SIG ContribEx Style with Kaslin Fields, Priyanka Saggu, Madhav Jivrajani, and Nabarun Pal ",#2,,,
Google Cloud Tech,,"#3: Making Kubernetes Simpler for Accelerated Workloads with Susan Wu, Lucy Sweet, Mitch McKenzie, Aditya Shanker, and Rebecca Weekly ",#3,,,
Google for Developers,," Discover how AI can help solve humanity’s great challenges at the Women in AI Summit 2024!  @GoogleDeepMind ’s Kathleen Kenealy shares how Gemma’s family of open models empowers devs to build the future, regardless of hardware or location.

Register →  https://",,,,
Google reposted,,"In honor of Native American Heritage Month, today’s  #GoogleDoodle  celebrates kayaks which were invented by Arctic tribes 5,000 years ago. 

Learn more about the origin story →  https://",#GoogleDoodle,,,
Google for Developers,,Connecting an AI Studio project with Google Colab just got easier,,,,
Outdoor Channel,,Our deer experts report on current deer movement and patterns and what areas can expect the rut to be kicking off via  @GameAndFishMag :  https:// #FindYourAdventure #hunting #outdoors #therut #deer #deerseason #deerrut,"#FindYourAdventure, #hunting, #outdoors, #therut, #deer, #deerseason, #deerrut",,,
Google Cloud Tech reposted,,I'm an AI-skeptic but we recently integrated Vertex AI into our product Konfigurate to automate the creation of IaC. Prompt engineering really isn't a meme when you get access to 1M+ token context windows with near-perfect recall.  https:// nfrastructure-as-code …,,,,
Google for Developers,," We teamed up with  @Sourcegraph , the creators of Cody AI, to see how long context improves their AI coding assistance.

Cody's performance with Gemini 1.5 Flash's 1M context window saw improvements across key benchmarks.

Explore the results →  https://",,,,
Outdoor Channel,,"Grant Kuypers has us on the birds again at Buck Paradise.

The Fowl Life with Chad Belding  /  SATURDAY AT 8 AM ET.  #FindYourAdventure #hunting #outdoors #wildfowl #waterfowl #duckhunting","#FindYourAdventure, #hunting, #outdoors, #wildfowl, #waterfowl, #duckhunting",,,
Outdoor Channel,,"If you haven't heard of DECKED, you soon will. This is the story of one of the fastest growing and most dynamic businesses in the USA.

American Made  /  ALL NEW FRIDAY AT 8 PM ET.  #FindYourAdventure #American #made #decked #truck #storage #truckbedstorage #getdecked","#FindYourAdventure, #American, #made, #decked, #truck, #storage, #truckbedstorage, #getdecked",,,
Go,, Go 1.23.3 and 1.22.9 are released!  Announcement:  https:// nce/c/X5KodEJYuqI …  Download:  https:// #golang,#golang,,,
Outdoor Channel,,"""Congratulation to our owner and founder, Bill Jordan on a beautiful Colorado Moose!"" -  @Realtree  Outdoors  #FindYourAdventure #realtree #hunting #outdoors #moose #moosehunting #bullmoose","#FindYourAdventure, #realtree, #hunting, #outdoors, #moose, #moosehunting, #bullmoose",,,
Google Cloud Tech,,"Gemini models are coming to GitHub Copilot!

For the first time, Copilot users will be able to tap into Gemini's industry-leading 2M token context window & native multimodal processing.

Read how this collaboration expands developer choice & flexibility →  https://",,,,
Google reposted,,"Guidance, goals, gorgeous— #PixelWatch  3 is designed for performance. Comes in two sizes: 41mm and 45mm Water-droplet inspired 3D glass design with premium finishes Bigger screen, 2x as bright, and more responsive than 2nd-gen

Go big or go bigger:  http://",#PixelWatch,,,
Google for Developers,,#GemmaDeveloperDay  sessions from Tokyo are now available.  →  https://,#GemmaDeveloperDay,,,
Google for Developers,,"Catch all the sessions featuring these highlights:  Global competition with  @Kaggle  What’s new with Gemma 2  Demos for DataGemma, GemmaScope, PaliGemma 
…and so much more!",,,,
Google for Developers,,Level up your Gemma skills and start building the future of AI ↓,,,,
Google for Developers,,"Google Workspace is home to the apps more than 3 billion users know and love — Gmail, Calendar, Drive, Meet, and more. →  https://  

Find out how you can build intelligent apps and workflows using a range of developer tools that fit your needs.",,,,
Outdoor Channel,,"Dustin Lynch and Mark Drury take advantage of a cold front, resulting in two mature whitetail bucks on the ground. @DruryOutdoors  Thirteen  /  TONIGHT AT 6 PM ET.  #FindYourAdventure #hunting #outdoors #deer #deerhunting #whitetail","#FindYourAdventure, #hunting, #outdoors, #deer, #deerhunting, #whitetail",,,
Google for Developers reposted,," We are live!  https://  

Tune into our livestream to learn what it's like to be a Software Engineering Manager at Google. You'll get an insider's view of the exciting challenges and rewards of this role as well as have an opportunity to ask questions!",,,,
Outdoor Channel,,"""Hunting is far more than killing but I killed this bull after months of preparation!"" 

Congrats to our buddy Brian from Beyond Rubicon TV.  #FindYourAdventure #hunting #outdoors #bull #bullelk #elk #elkhunting","#FindYourAdventure, #hunting, #outdoors, #bull, #bullelk, #elk, #elkhunting",,,
Google Cloud Tech,,"Three ways to run Apache Airflow on Google Cloud: 
1. Compute Engine
2. GKE Autopilot
3. Cloud Composer

Check out the pros and cons of each approach, and we have the Terraform code that you can find on GitHub so that you can try it out for yourself →  https://",,,,
Outdoor Channel,,Chris Moermond's 7x7 giant will rank among Ohio's Top 10 for typical archery kills after the 60-day drying period. Full story via  @NAWhitetail :  https:// #FindYourAdventure #outdoors #hunting #deer #deerhunting #deerseason #whitetail,"#FindYourAdventure, #outdoors, #hunting, #deer, #deerhunting, #deerseason, #whitetail",,,
Google Cloud Tech,,"Join us on Oct. 23rd for a digital preview of Google Cloud at  #KubeCon  +  #CloudNativeCon  North America!

This session will give you a glimpse of the exciting content that will take center stage at the flagship event happening in SLC this November →  https://","#KubeCon, #CloudNativeCon",,,
Outdoor Channel,,"Hands down, one of the most exciting ways to reel in a catfish is through noodling. In the great State of Oklahoma, it goes by the name of ""hand grabbing,"" and Yia Vang is in for an unforgettable adventure alongside local noodling world record holder, Nate Williams. Joined by his",,,,
Outdoor Channel,,"On this hunt, Steve and Janis Putelis are in Florida with local, Richard Martinez, in search for the illusive Osceola Turkey. @MeatEaterTV    /  ALL  NEW MONDAY AT 8 PM ET.  #FindYourAdventure #hunting #outdoors #wildturkey #osceola #osceloaturkey #Florida","#FindYourAdventure, #hunting, #outdoors, #wildturkey, #osceola, #osceloaturkey, #Florida",,,
Outdoor Channel,,You don't need tons of acres to find whitetail! Here are some tips on hunting small properties.,,,,
Outdoor Channel,,"Opening weekend in South Texas did not disappoint!"" Congratulations to Georgia Kate as she arrowed her largest buck to date! Way to get it done GK!!! - The Legends of the Fall  #FindYourAdventure #outdoors #hunting #deer #deerseason #texas #bowhunting","#FindYourAdventure, #outdoors, #hunting, #deer, #deerseason, #texas, #bowhunting",,,
Google Cloud Tech reposted,," In the second post of the series, I'm diving into text embeddings!   Learn how to use  #Firestore  +  #LangChain  to store embeddings and perform similarity searches for more relevant and grounded answers  https:// opers/firestore-for-text-embedding-and-similarity-search-d74acbc8d6f5 … #AI #LLM #GenAI #GoogleCloud #VertexAI","#Firestore, #LangChain, #AI, #LLM, #GenAI, #GoogleCloud, #VertexAI",,,
Google Cloud Tech,,"Poor search quality in your RAG system? New ""task type"" embeddings based on Google DeepMind's embedding models can help! 

Learn how to get optimized embeddings for Q&A or doc retrieval tasks and see a major improvement (cont)  https://",,,,
Google for Developers,,Check out insights from Google Developer Expert  @alarcon7a  on how to integrate Gemini into your apps using the Google Generative AI Python library.,,,,
